age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,age_group,balance_group,customer_tier,campaign_action
56,retired,married,secondary,no,2624,yes,no,telephone,5,jul,145,3,30,3,success,29–58,very_high,Neutral,High Priority Call
69,retired,single,secondary,no,1794,no,no,telephone,12,nov,293,1,30,2,unknown,>58,very_high,Best,Call Immediately
46,blue-collar,married,secondary,no,3290,no,no,telephone,5,oct,471,5,60,0,failure,29–58,very_high,Neutral,Delay & Re-nurture
32,technician,single,secondary,no,7784,yes,no,telephone,17,oct,577,4,240,2,other,29–58,very_high,Neutral,Review
60,admin,married,secondary,no,1404,yes,no,telephone,17,jun,482,5,60,2,other,>58,high,Neutral,Review
25,services,divorced,tertiary,no,35,yes,no,telephone,24,aug,506,2,999,3,failure,<29,low,Neutral,Delay & Re-nurture
38,management,single,primary,no,1708,no,no,telephone,12,jul,316,4,360,1,other,29–58,very_high,Neutral,Review
56,admin,single,tertiary,no,3330,yes,no,telephone,24,jul,332,3,360,3,failure,29–58,very_high,Neutral,Delay & Re-nurture
36,retired,single,secondary,no,5056,no,no,telephone,28,sep,340,4,360,1,other,29–58,very_high,Neutral,Review
40,management,single,primary,no,2435,yes,no,cellular,15,sep,237,3,240,1,unknown,29–58,very_high,Neutral,Review
28,management,married,secondary,no,7962,no,no,cellular,15,nov,475,3,360,3,success,<29,very_high,Potential,High Priority Call
28,management,single,primary,no,2360,yes,no,cellular,6,jul,84,4,999,3,success,<29,very_high,Neutral,High Priority Call
41,blue-collar,divorced,tertiary,no,5215,yes,yes,cellular,12,nov,41,3,60,1,unknown,29–58,very_high,Neutral,Review
70,retired,divorced,primary,no,3191,no,no,cellular,27,nov,429,3,240,3,unknown,>58,very_high,Best,Call Immediately
53,management,single,primary,no,5751,no,no,telephone,29,sep,544,2,60,1,failure,29–58,very_high,Neutral,Delay & Re-nurture
57,services,divorced,primary,yes,5268,yes,yes,telephone,20,aug,571,5,240,2,failure,29–58,very_high,Neutral,Delay & Re-nurture
41,student,single,primary,no,7807,no,no,telephone,18,nov,266,5,60,3,failure,29–58,very_high,Neutral,Delay & Re-nurture
20,management,single,primary,yes,6213,yes,no,telephone,14,may,308,2,30,2,other,<29,very_high,Neutral,Review
39,blue-collar,divorced,secondary,no,6741,no,no,telephone,2,aug,377,4,60,0,failure,29–58,very_high,Neutral,Delay & Re-nurture
70,admin,single,primary,no,4620,no,no,telephone,9,jul,133,1,360,2,unknown,>58,very_high,Best,Call Immediately
19,retired,divorced,primary,no,2698,yes,no,telephone,5,jul,546,1,30,2,success,<29,very_high,Neutral,High Priority Call
41,blue-collar,married,tertiary,no,7346,yes,no,cellular,20,nov,277,1,60,1,other,29–58,very_high,Neutral,Review
61,management,single,primary,no,-123,yes,yes,cellular,26,aug,393,2,240,2,failure,>58,low,Neutral,Delay & Re-nurture
47,retired,married,tertiary,no,7377,yes,no,cellular,29,sep,350,2,240,3,other,29–58,very_high,Neutral,Review
55,student,divorced,secondary,no,4027,no,no,cellular,1,sep,315,3,240,1,other,29–58,very_high,Neutral,Review
19,management,married,primary,no,400,yes,no,telephone,23,oct,178,1,120,0,failure,<29,medium,Neutral,Delay & Re-nurture
38,blue-collar,married,tertiary,no,865,yes,no,telephone,3,jul,113,4,999,3,other,29–58,high,Neutral,Review
50,technician,divorced,tertiary,no,1936,no,no,telephone,6,jun,435,4,240,0,success,29–58,very_high,Neutral,High Priority Call
29,services,married,secondary,no,6743,no,yes,cellular,5,oct,485,1,30,2,unknown,<29,very_high,Potential,Nurture Campaign
39,admin,married,primary,no,7604,yes,no,telephone,21,sep,190,1,240,3,unknown,29–58,very_high,Neutral,Review
61,blue-collar,divorced,primary,no,6365,yes,no,telephone,27,aug,489,1,120,3,success,>58,very_high,Neutral,High Priority Call
42,retired,married,tertiary,no,5784,yes,yes,telephone,5,sep,579,2,360,0,other,29–58,very_high,Neutral,Review
66,management,divorced,primary,no,4942,yes,no,cellular,1,aug,529,2,30,3,failure,>58,very_high,Neutral,Delay & Re-nurture
44,services,married,tertiary,no,4470,no,no,telephone,17,oct,538,2,120,3,other,29–58,very_high,Neutral,Review
59,management,divorced,primary,yes,1990,yes,no,cellular,19,jul,510,5,360,3,success,>58,very_high,Neutral,High Priority Call
45,retired,divorced,tertiary,no,2512,no,no,cellular,14,sep,143,4,30,2,other,29–58,very_high,Neutral,Review
33,management,married,primary,yes,1992,yes,no,cellular,12,nov,390,4,60,0,unknown,29–58,very_high,Neutral,Review
32,technician,married,secondary,no,1048,no,no,cellular,10,aug,370,3,999,3,other,29–58,high,Neutral,Review
